person_id,status,mask_probability,without_mask_probability,timestamp,image_path
16,Mask,0.975,0.025,2026-09-17 22:25:55,with_mask\person_16_mask_20260917_222555_974097.jpg
15,Mask,0.9329,0.0671,2026-09-17 22:25:57,with_mask\person_15_mask_20260917_222557_643946.jpg
15,Mask,0.9285,0.0715,2026-09-17 22:25:59,with_mask\person_15_mask_20260917_222559_821997.jpg
15,Mask,0.9276,0.0724,2026-09-17 22:26:01,with_mask\person_15_mask_20260917_222601_916980.jpg
17,Mask,0.9219,0.0781,2026-09-17 22:26:05,with_mask\person_17_mask_20260917_222605_903768.jpg
18,Mask,0.9633,0.0367,2026-09-17 22:26:11,with_mask\person_18_mask_20260917_222611_729584.jpg
19,Mask,0.9285,0.0715,2026-09-17 22:26:11,with_mask\person_19_mask_20260917_222611_993218.jpg
18,Mask,0.9687,0.0313,2026-09-17 22:26:14,with_mask\person_18_mask_20260917_222614_136995.jpg
20,Mask,0.9778,0.0222,2026-09-17 22:26:14,with_mask\person_20_mask_20260917_222614_399638.jpg
19,Mask,0.9375,0.0625,2026-09-17 22:26:15,with_mask\person_19_mask_20260917_222615_438162.jpg
18,Mask,0.974,0.026,2026-09-17 22:26:16,with_mask\person_18_mask_20260917_222616_235429.jpg
19,Mask,0.9337,0.0663,2026-09-17 22:26:17,with_mask\person_19_mask_20260917_222617_791283.jpg
21,Mask,0.9436,0.0564,2026-09-17 22:26:27,with_mask\person_21_mask_20260917_222627_848074.jpg
21,Mask,0.9475,0.0525,2026-09-17 22:26:30,with_mask\person_21_mask_20260917_222630_060641.jpg
22,Mask,0.9863,0.0137,2026-09-17 22:26:31,with_mask\person_22_mask_20260917_222631_000829.jpg
21,Mask,0.9444,0.0556,2026-09-17 22:26:32,with_mask\person_21_mask_20260917_222632_253873.jpg
22,Mask,0.986,0.014,2026-09-17 22:26:33,with_mask\person_22_mask_20260917_222633_262342.jpg
23,Mask,0.9851,0.0149,2026-09-17 22:26:36,with_mask\person_23_mask_20260917_222636_703238.jpg
24,Mask,0.9567,0.0433,2026-09-17 22:26:38,with_mask\person_24_mask_20260917_222638_001827.jpg
23,Mask,0.9838,0.0162,2026-09-17 22:26:38,with_mask\person_23_mask_20260917_222638_933868.jpg
24,Mask,0.9256,0.0744,2026-09-17 22:26:40,with_mask\person_24_mask_20260917_222640_719481.jpg
23,Mask,0.9663,0.0337,2026-09-17 22:26:41,with_mask\person_23_mask_20260917_222641_003583.jpg
24,Mask,0.9059,0.0941,2026-09-17 22:26:42,with_mask\person_24_mask_20260917_222642_796546.jpg
25,Mask,0.9151,0.0849,2026-09-17 22:26:45,with_mask\person_25_mask_20260917_222645_885275.jpg
25,Mask,0.9057,0.0943,2026-09-17 22:26:47,with_mask\person_25_mask_20260917_222647_979888.jpg
26,Mask,0.9534,0.0466,2026-09-17 22:26:48,with_mask\person_26_mask_20260917_222648_117338.jpg
25,Mask,0.9017,0.0983,2026-09-17 22:26:50,with_mask\person_25_mask_20260917_222650_135026.jpg
25,Mask,0.9101,0.0899,2026-09-17 22:26:52,with_mask\person_25_mask_20260917_222652_146685.jpg
25,Mask,0.9051,0.0949,2026-09-17 22:26:54,with_mask\person_25_mask_20260917_222654_202242.jpg
